日期,代號,名稱,分級,持股人數,週增減人數,持股比%,持股比增減%
2026/04/24,2330,台積電,100~200張,1989,9,1.07,0.01
2026/04/24,2330,台積電,10~15張,16042,79,0.75,0.0
2026/04/24,2330,台積電,15~20張,7466,10,0.5,0.0
2026/04/24,2330,台積電,1~5張,405806,2233,2.99,0.01
2026/04/24,2330,台積電,200~400張,1315,-14,1.41,-0.02
2026/04/24,2330,台積電,20~30張,7387,23,0.69,0.0
2026/04/24,2330,台積電,30~40張,3498,12,0.46,0.0
2026/04/24,2330,台積電,400~600張,552,-2,1.04,0.0
2026/04/24,2330,台積電,40~50張,1978,5,0.34,0.0
2026/04/24,2330,台積電,50~100張,3951,-2,1.06,0.0
2026/04/24,2330,台積電,5~10張,48205,208,1.33,0.01
2026/04/24,2330,台積電,600~800張,338,6,0.9,0.02
2026/04/24,2330,台積電,800~1000張,229,-8,0.79,-0.02
2026/04/24,2330,台積電,千張大戶,1503,1,85.67,-0.02
2026/04/24,2330,台積電,零股散戶,1964085,12010,0.92,0.01
2026/05/08,2330,台積電,100~200張,2004,3,1.08,0.01
2026/05/08,2330,台積電,10~15張,16216,57,0.76,0.0
2026/05/08,2330,台積電,15~20張,7591,50,0.51,0.0
2026/05/08,2330,台積電,1~5張,411783,1093,3.03,0.01
2026/05/08,2330,台積電,200~400張,1321,10,1.42,0.01
2026/05/08,2330,台積電,20~30張,7390,-46,0.69,-0.01
2026/05/08,2330,台積電,30~40張,3494,7,0.46,0.0
2026/05/08,2330,台積電,400~600張,550,-8,1.03,-0.02
2026/05/08,2330,台積電,40~50張,2009,16,0.34,0.0
2026/05/08,2330,台積電,50~100張,3969,3,1.06,0.0
2026/05/08,2330,台積電,5~10張,48610,96,1.34,0.0
2026/05/08,2330,台積電,600~800張,349,2,0.93,0.01
2026/05/08,2330,台積電,800~1000張,216,-8,0.74,-0.03
2026/05/08,2330,台積電,千張大戶,1504,7,85.58,0.0
2026/05/08,2330,台積電,零股散戶,2046777,33314,0.94,0.01
2026/05/15,2330,台積電,100~200張,1995,-9,1.07,-0.01
2026/05/15,2330,台積電,10~15張,16311,95,0.77,0.01
2026/05/15,2330,台積電,15~20張,7667,76,0.52,0.01
2026/05/15,2330,台積電,1~5張,419732,7949,3.09,0.06
2026/05/15,2330,台積電,200~400張,1318,-3,1.41,-0.01
2026/05/15,2330,台積電,20~30張,7436,46,0.7,0.01
2026/05/15,2330,台積電,30~40張,3496,2,0.46,0.0
2026/05/15,2330,台積電,400~600張,563,13,1.06,0.03
2026/05/15,2330,台積電,40~50張,2025,16,0.35,0.01
2026/05/15,2330,台積電,50~100張,3962,-7,1.06,0.0
2026/05/15,2330,台積電,5~10張,49274,664,1.36,0.02
2026/05/15,2330,台積電,600~800張,342,-7,0.91,-0.02
2026/05/15,2330,台積電,800~1000張,216,0,0.74,0.0
2026/05/15,2330,台積電,千張大戶,1502,-2,85.47,-0.11
2026/05/15,2330,台積電,零股散戶,2117995,71218,0.97,0.03
2026/05/22,2330,台積電,100~200張,1993,-2,1.07,0.0
2026/05/22,2330,台積電,10~15張,16459,148,0.77,0.0
2026/05/22,2330,台積電,15~20張,7727,60,0.52,0.0
2026/05/22,2330,台積電,1~5張,423464,3732,3.11,0.02
2026/05/22,2330,台積電,200~400張,1324,6,1.42,0.01
2026/05/22,2330,台積電,20~30張,7471,35,0.7,0.0
2026/05/22,2330,台積電,30~40張,3510,14,0.46,0.0
2026/05/22,2330,台積電,400~600張,565,2,1.06,0.0
2026/05/22,2330,台積電,40~50張,2015,-10,0.35,0.0
2026/05/22,2330,台積電,50~100張,3966,4,1.06,0.0
2026/05/22,2330,台積電,5~10張,49589,315,1.37,0.01
2026/05/22,2330,台積電,600~800張,350,8,0.93,0.02
2026/05/22,2330,台積電,800~1000張,209,-7,0.72,-0.02
2026/05/22,2330,台積電,千張大戶,1498,-4,85.39,-0.08
2026/05/22,2330,台積電,零股散戶,2150354,32359,0.98,0.01
2026/05/29,2330,台積電,100~200張,1988,-5,1.07,0.0
2026/05/29,2330,台積電,10~15張,16492,33,0.78,0.01
2026/05/29,2330,台積電,15~20張,7701,-26,0.52,0.0
2026/05/29,2330,台積電,1~5張,421963,-1501,3.11,0.0
2026/05/29,2330,台積電,200~400張,1322,-2,1.42,0.0
2026/05/29,2330,台積電,20~30張,7469,-2,0.7,0.0
2026/05/29,2330,台積電,30~40張,3530,20,0.47,0.01
2026/05/29,2330,台積電,400~600張,562,-3,1.06,0.0
2026/05/29,2330,台積電,40~50張,2013,-2,0.35,0.0
2026/05/29,2330,台積電,50~100張,3982,16,1.07,0.01
2026/05/29,2330,台積電,5~10張,49545,-44,1.37,0.0
2026/05/29,2330,台積電,600~800張,346,-4,0.92,-0.01
2026/05/29,2330,台積電,800~1000張,212,3,0.73,0.01
2026/05/29,2330,台積電,千張大戶,1498,0,85.41,0.02
2026/05/29,2330,台積電,零股散戶,2149965,-389,0.98,0.0
2026/06/05,2330,台積電,100~200張,2000,12,1.07,0.0
2026/06/05,2330,台積電,10~15張,16495,3,0.78,0.0
2026/06/05,2330,台積電,15~20張,7708,7,0.52,0.0
2026/06/05,2330,台積電,1~5張,421284,-679,3.1,-0.01
2026/06/05,2330,台積電,200~400張,1321,-1,1.42,0.0
2026/06/05,2330,台積電,20~30張,7442,-27,0.7,0.0
2026/06/05,2330,台積電,30~40張,3509,-21,0.46,-0.01
2026/06/05,2330,台積電,400~600張,563,1,1.06,0.0
2026/06/05,2330,台積電,40~50張,2018,5,0.35,0.0
2026/06/05,2330,台積電,50~100張,3997,15,1.07,0.0
2026/06/05,2330,台積電,5~10張,49448,-97,1.36,-0.01
2026/06/05,2330,台積電,600~800張,348,2,0.92,0.0
2026/06/05,2330,台積電,800~1000張,209,-3,0.72,-0.01
2026/06/05,2330,台積電,千張大戶,1499,1,85.42,0.01
2026/06/05,2330,台積電,零股散戶,2160807,10842,0.98,0.0
2026/06/12,2330,台積電,100~200張,1995,-5,1.07,0.0
2026/06/12,2330,台積電,10~15張,16669,174,0.78,0.0
2026/06/12,2330,台積電,15~20張,7840,132,0.53,0.01
2026/06/12,2330,台積電,1~5張,434344,13060,3.19,0.09
2026/06/12,2330,台積電,200~400張,1325,4,1.42,0.0
2026/06/12,2330,台積電,20~30張,7544,102,0.71,0.01
2026/06/12,2330,台積電,30~40張,3550,41,0.47,0.01
2026/06/12,2330,台積電,400~600張,554,-9,1.04,-0.02
2026/06/12,2330,台積電,40~50張,2027,9,0.35,0.0
2026/06/12,2330,台積電,50~100張,4028,31,1.08,0.01
2026/06/12,2330,台積電,5~10張,50588,1140,1.39,0.03
2026/06/12,2330,台積電,600~800張,344,-4,0.91,-0.01
2026/06/12,2330,台積電,800~1000張,223,14,0.76,0.04
2026/06/12,2330,台積電,千張大戶,1482,-17,85.18,-0.24
2026/06/12,2330,台積電,零股散戶,2314613,153806,1.03,0.05
