stock_id,名稱,weight_per
2330,台積電,41.6491
5274,信驊,5.3419
6223,旺矽,5.1119
2454,聯發科,4.5373
8299,群聯,4.5188
6274,台燿,4.1936
6488,環球晶,4.1164
5347,世界,3.4555
2308,台達電,3.3755
2317,鴻海,2.3424
8069,元太,2.1212
3711,日月光投控,2.0215
3293,鈊象,1.9048
3529,力旺,1.8715
3081,聯亞,1.601
2327,國巨*,1.5737
3105,穩懋,1.5472
2303,聯電,1.3788
5536,聖暉*,1.3712
6147,頎邦,1.3491
5289,宜鼎,1.3331
8358,金居,1.2983
2383,台光電,1.2871
2881,富邦金,1.2089
3260,威剛,1.1542
3037,欣興,1.1235
5483,中美晶,0.9888
2882,國泰金,0.961
2382,廣達,0.9473
2408,南亞科,0.9344
2345,智邦,0.933
3264,欣銓,0.9322
2891,中信金,0.9311
3131,弘塑,0.9228
1303,南亞,0.88
6510,精測,0.855
6187,萬潤,0.8395
3324,雙鴻,0.8053
3491,昇達科,0.7869
7769,鴻勁,0.7758
1785,光洋科,0.7378
2412,中華電,0.7315
7734,印能科技,0.728
4749,新應材,0.7101
7828,創新服務,0.699
6548,長科*,0.6832
3374,精材,0.666
6121,新普,0.6616
3017,奇鋐,0.6599
6182,合晶,0.6255
2344,華邦電,0.6223
2360,致茂,0.6121
5904,寶雅,0.6082
2885,元大金,0.5837
4979,華星光,0.5781
6669,緯穎,0.574
3363,上詮,0.5627
1815,富喬,0.5568
2887,台新新光金,0.551
4991,環宇-KY,0.5491
3163,波若威,0.5465
3211,順達,0.5464
8046,南電,0.5103
2059,川湖,0.4674
6173,信昌電,0.4575
2886,兆豐金,0.4557
4958,臻鼎-KY,0.4495
6290,良維,0.448
6584,南俊國際,0.446
3443,創意,0.4327
4966,譜瑞-KY,0.4255
3680,家登,0.4182
2368,金像電,0.4135
6683,雍智科技,0.4072
2890,永豐金,0.3854
3008,大立光,0.3739
2884,玉山金,0.3713
3481,群創,0.3658
5903,全家,0.3595
2880,華南金,0.3524
6505,台塑化,0.3498
2357,華碩,0.3465
4772,台特化,0.3435
2301,光寶科,0.3427
6446,藥華藥,0.3408
3231,緯創,0.3359
3653,健策,0.3354
8932,智通*,0.3327
2883,凱基金,0.3247
3357,臺慶科,0.3181
7751,竑騰,0.3156
2892,第一金,0.3138
3189,景碩,0.3129
8415,大國鋼,0.3075
3227,原相,0.3069
3707,漢磊,0.2952
5371,中光電,0.2911
3045,台灣大,0.2891
2395,研華,0.2847
1216,統一,0.2821
2379,瑞昱,0.2769
2449,京元電子,0.275
6023,元大期,0.2725
5425,台半,0.272
5475,德宏,0.2663
2603,長榮,0.2662
5880,合庫金,0.2597
6217,中探針,0.2571
6640,均華,0.2537
8086,宏捷科,0.2517
4123,晟德,0.2513
3665,貿聯-KY,0.249
6770,力積電,0.2477
5439,高技,0.2473
4904,遠傳,0.2459
5351,鈺創,0.2442
6613,朋億*,0.2429
3362,先進光,0.2387
6138,茂達,0.2384
8064,東捷,0.2312
1301,台塑,0.2312
6561,是方,0.2217
6903,巨漢,0.2216
3661,世芯-KY,0.221
3034,聯詠,0.217
4743,合一,0.2148
1326,台化,0.2133
3265,台星科,0.2095
6739,竹陞科技,0.2084
6291,沛亨,0.2069
8042,金山電,0.2064
2337,旺宏,0.2053
8027,鈦昇,0.204
6664,群翊,0.2038
8155,博智,0.1979
8096,擎亞,0.1977
2002,中鋼,0.1971
6515,穎崴,0.1942
2313,華通,0.1912
2801,彰銀,0.1882
7805,威聯通,0.1876
6188,廣明,0.1848
3693,營邦,0.1845
5864,致和證,0.1832
2492,華新科,0.1827
4506,崇友,0.1827
3044,健鼎,0.1814
3036,文曄,0.181
6803,崑鼎,0.1802
3587,閎康,0.178
1590,亞德客-KY,0.1779
4728,雙美,0.1766
3526,凡甲,0.1754
5530,龍巖,0.1738
2207,和泰車,0.1728
3675,德微,0.1718
6239,力成,0.1707
6643,M31,0.1704
4971,IET-KY,0.1682
2404,漢唐,0.1677
6016,康和證,0.1673
5314,世紀*,0.1671
6146,耕興,0.1667
2409,友達,0.1645
1519,華城,0.1634
5009,榮剛,0.1631
5443,均豪,0.163
2618,長榮航,0.1616
4105,東洋,0.1613
8255,朋程,0.1605
5340,建榮,0.1598
2356,英業達,0.1592
3533,嘉澤,0.1582
6415,矽力*-KY,0.1549
2912,統一超,0.1545
2376,技嘉,0.1536
3624,光頡,0.1533
4768,晶呈科技,0.1532
4147,中裕,0.1521
4938,和碩,0.1498
2615,萬海,0.1481
5386,青雲,0.1459
1802,台玻,0.145
6139,亞翔,0.1449
6175,立敦,0.1447
6535,順藥,0.1445
6788,華景電,0.1429
5478,智冠,0.1397
6620,漢達,0.1385
5876,上海商銀,0.1383
6712,長聖,0.1382
3217,優群,0.1382
5213,亞昕,0.1381
8936,國統,0.1381
4114,健喬,0.137
6190,萬泰科,0.135
4931,新盛力,0.1342
5871,中租-KY,0.134
3088,艾訊,0.1336
4542,科嶠,0.1332
8043,蜜望實,0.1328
6125,廣運,0.132
3289,宜特,0.1297
8091,翔名,0.129
6284,佳邦,0.1283
6547,高端疫苗,0.128
4908,前鼎,0.1266
5309,系統電,0.1246
7744,崴寶,0.1242
6679,鈺太,0.1241
3234,光環,0.1218
2609,陽明,0.121
1101,台泥,0.1206
3455,由田,0.1205
6279,胡連,0.1198
3702,大聯大,0.1197
3691,碩禾,0.1196
6435,大中,0.1167
8436,大江,0.116
2834,臺企銀,0.115
6667,信紘科,0.1131
6829,千附精密,0.1128
8908,欣雄,0.1126
6725,矽科宏晟,0.111
1504,東元,0.111
6231,系微,0.1101
3228,金麗科,0.11
1605,華新,0.1099
6576,逸達,0.109
3551,世禾,0.1088
6789,采鈺,0.1088
3152,璟德,0.1085
8054,安國,0.1083
6531,愛普*,0.1082
6021,美好證,0.1077
8210,勤誠,0.1073
3162,精確,0.1065
8937,合騏*,0.1063
5328,華容,0.1052
2324,仁寶,0.1037
6919,康霈*,0.1036
7792,安葆,0.1033
6245,立端,0.1032
3078,僑威,0.1032
6261,久元,0.1029
1402,遠東新,0.1017
4707,磐亞,0.1013
2347,聯強,0.1013
5498,凱崴,0.1008
6207,雷科,0.1001
3218,大學光,0.0994
5508,永信建,0.0993
6727,亞泰金屬,0.0987
4973,廣穎,0.097
3485,敘豐,0.0968
6469,大樹,0.0963
7750,新代,0.0962
2610,華航,0.0961
8996,高力,0.0955
4760,勤凱,0.0949
3147,大綜,0.0943
3532,台勝科,0.0941
5609,中菲行,0.0941
7717,萊德光電-KY,0.0934
3026,禾伸堂,0.0931
3709,鑫聯大投控,0.093
3402,漢科,0.0926
8040,九暘,0.0925
6462,神盾,0.0919
3689,湧德,0.0919
8050,廣積,0.0919
6244,茂迪,0.0918
6693,廣閎科,0.0918
8121,越峰,0.0912
6213,聯茂,0.0898
3093,港建*,0.0895
8390,金益鼎,0.0885
3479,安勤,0.0884
6263,普萊德,0.0873
8109,博大,0.0869
5236,凌陽創新,0.0866
8234,新漢,0.0864
6127,九豪,0.086
1264,德麥,0.0855
6442,光聖,0.0853
6411,晶焱,0.0846
6945,圓祥生技,0.0839
6285,啟碁,0.0836
1503,士電,0.0832
6509,聚和,0.0832
1102,亞泥,0.0827
3611,鼎翰,0.0823
2035,唐榮,0.0822
2377,微星,0.0822
6196,帆宣,0.0813
2640,大車隊,0.081
4128,中天,0.0809
2812,台中銀,0.0805
6104,創惟,0.08
6227,茂綸,0.0792
7728,光焱科技,0.079
6208,日揚,0.0785
6907,雅特力-KY,0.0784
2474,可成,0.0782
3706,神達,0.0772
8927,北基,0.0771
4953,緯軟,0.0771
6805,富世達,0.0768
5511,德昌,0.0768
2451,創見,0.0766
2049,上銀,0.0766
3483,力致,0.0765
5287,數字,0.0765
6257,矽格,0.0764
4162,智擎,0.0761
6617,共信-KY,0.0761
3086,華義*,0.0758
4129,聯合,0.0758
1560,中砂,0.0748
6763,綠界科技*,0.0748
6526,達發,0.0748
6180,橘子,0.0746
8917,欣泰,0.0744
6894,衛司特,0.0741
6811,宏碁資訊,0.0739
8227,巨有科技,0.0727
5269,祥碩,0.0726
4419,皇家美食,0.0725
7610,聯友金屬-創,0.0722
3663,鑫科,0.072
8349,恒耀,0.0717
8938,明安,0.0711
8942,森鉅,0.071
5434,崇越,0.0704
6996,力領科技,0.0702
6186,新潤,0.07
6732,昇佳電子,0.0698
2027,大成鋼,0.0695
6143,振曜,0.0693
5392,能率,0.0692
3555,博士旺,0.069
3317,尼克森,0.0689
3558,神準,0.0686
4107,邦特,0.0683
8464,億豐,0.0676
2353,宏碁,0.0672
6781,AES-KY,0.0672
6785,昱展新藥,0.0667
7777,能率亞洲,0.0663
7556,意德士,0.0662
2838,聯邦銀,0.0655
3577,泓格,0.0649
6654,天正國際,0.0649
2467,志聖,0.0648
2105,正新,0.0647
8383,千附,0.0637
5278,尚凡*,0.0637
6409,旭隼,0.0634
6163,華電網,0.0629
6741,91APP*-KY,0.0627
5263,智崴,0.0624
2542,興富發,0.0623
3498,陽程,0.0622
3236,千如,0.062
5403,中菲,0.0619
3090,日電貿,0.0618
3581,博磊,0.0618
6691,洋基工程,0.0616
8076,伍豐,0.0615
1268,漢來美食,0.0611
4205,中華食,0.0609
3213,茂訊,0.0606
5464,霖宏,0.0603
6953,家碩,0.0597
7703,銳澤,0.0597
6015,宏遠證,0.0595
1513,中興電,0.0593
4721,美琪瑪,0.0592
2729,瓦城,0.0592
6499,益安,0.0586
1717,長興,0.0584
3169,亞信,0.058
5457,宣德,0.0575
5474,聰泰,0.0572
1476,儒鴻,0.0571
1569,濱川,0.0567
8916,光隆,0.0562
5489,彩富,0.0556
6761,穩得,0.0556
8021,尖點,0.0555
7712,博盛半導體,0.0554
6005,群益證,0.0553
3388,崇越電,0.0552
6983,華洋精機,0.0547
4167,松瑞藥,0.0544
4166,友霖,0.0542
4939,亞電,0.0541
6265,方土昶,0.0541
6199,天品,0.0537
6762,達亞,0.0536
5299,杰力,0.0536
2855,統一證,0.0534
5512,力麒,0.0534
4163,鐿鈦,0.053
6026,福邦證,0.0529
6870,騰雲,0.0528
3630,新鉅科,0.0527
3221,台嘉碩,0.0527
2385,群光,0.0527
3023,信邦,0.0526
8454,富邦媒,0.0525
4157,太景*-KY,0.0525
8074,鉅橡,0.0524
2354,鴻準,0.0521
2441,超豐,0.0517
1580,新麥,0.0516
3030,德律,0.0516
3450,聯鈞,0.0516
8083,瑞穎,0.0515
1229,聯華,0.0514
3290,東浦,0.0513
8147,正淩,0.0511
9945,潤泰新,0.0508
2641,正德,0.0508
3141,晶宏,0.0505
5381,光譜,0.0499
4126,太醫,0.0499
6944,兆聯實業,0.0499
9904,寶成,0.0498
2472,立隆電,0.0498
6841,長佳智能,0.0497
8044,網家,0.0497
3167,大量,0.0497
8099,大世科,0.0496
1788,杏昌,0.0496
3406,玉晶光,0.0495
3548,兆利,0.0493
6877,鏵友益,0.0491
6020,大展證,0.049
8111,立碁,0.0488
4549,桓達,0.0486
4919,新唐,0.0485
3583,辛耘,0.0484
6417,韋僑,0.0478
6124,業強,0.0474
4933,友輝,0.0473
6203,海韻電,0.0469
3303,岱稜,0.0468
8150,南茂,0.0467
2481,強茂,0.0465
2633,台灣高鐵,0.0464
2645,長榮航太,0.0463
6101,寬魚國際,0.0462
9910,豐泰,0.0461
8240,華宏,0.0456
4726,永昕,0.0455
6651,全宇昕,0.0455
5312,寶島科,0.0453
3219,倚強科,0.0452
8182,加高,0.045
6913,鴻呈,0.0449
2755,揚秦,0.0448
3006,晶豪科,0.0448
6859,伯特光,0.0445
4974,亞泰,0.0436
6170,統振,0.0436
5452,佶優,0.0436
8931,大汽電,0.0435
7799,禾榮科,0.0432
6568,宏觀,0.0429
5520,力泰,0.0429
2455,全新,0.0428
6538,倉和,0.0428
6895,宏碩系統,0.0427
6875,國邑*,0.0426
2646,星宇航空,0.0423
2845,遠東銀,0.0422
3310,佳穎,0.0422
1565,精華,0.0422
6220,岳豐,0.0422
8926,台汽電,0.0422
3594,磐儀,0.0421
3546,宇峻,0.042
3005,神基,0.0419
3294,英濟,0.0418
6234,高僑,0.0418
6690,安碁資訊,0.0416
3430,奇鈦科,0.0416
5209,新鼎,0.0416
4907,富宇,0.0415
6278,台表科,0.0415
6111,光聚晶電,0.0413
6451,訊芯-KY,0.0411
8416,實威,0.041
3372,典範,0.0406
6922,宸曜,0.0405
2752,豆府,0.0404
5523,豐謙,0.0404
8446,華研,0.0402
8924,大田,0.0402
